                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78773,                 0.4783,                0.96026,                0.99487,                0.96875,                0.96706,                0.70023,                 1.0961,                0.52691,                 1.1438,              0.0006536,              0.0006536,              0.0006536
                     37,                0.80027,                0.45232,                0.96942,                0.99902,                0.96875,                0.96629,                 0.6932,                 1.1146,                0.52233,                 1.1461,               0.000614,               0.000614,               0.000614
                     38,                0.82745,                0.46687,                0.96903,                0.99647,                0.96875,                0.97036,                0.67222,                 1.1808,                0.53176,                 1.1612,              0.0005744,              0.0005744,              0.0005744
                     39,                0.84984,                0.48386,                0.97868,                0.99787,                0.96875,                  0.985,                0.67307,                 1.1757,                0.51848,                 1.1691,              0.0005348,              0.0005348,              0.0005348
                     40,                 0.7988,                0.46478,                0.94306,                0.99696,                0.96875,                0.98962,                0.69408,                 1.1097,                0.48986,                 1.1465,              0.0004952,              0.0004952,              0.0004952
                     41,                0.76537,                0.44828,                0.93504,                0.99743,                0.96875,                0.99095,                 0.7063,                 1.0795,                0.48906,                 1.1182,              0.0004556,              0.0004556,              0.0004556
                     42,                0.76531,                0.44659,                0.92489,                      1,                0.96692,                0.99095,                 0.7165,                 1.0245,                 0.4851,                 1.0876,               0.000416,               0.000416,               0.000416
                     43,                0.73414,                0.43069,                 0.9241,                0.96507,                0.96875,                0.99001,                0.71167,                  1.084,                0.48229,                 1.1126,              0.0003764,              0.0003764,              0.0003764
                     44,                0.79573,                0.41879,                0.94442,                0.96626,                0.96875,                 0.9923,                0.70765,                 1.1241,                0.49647,                 1.1185,              0.0003368,              0.0003368,              0.0003368
                     45,                0.79102,                0.40677,                0.98615,                0.96593,                0.96875,                 0.9923,                0.71798,                 1.0969,                0.49216,                 1.1075,              0.0002972,              0.0002972,              0.0002972
                     46,                0.74992,                0.40747,                0.93161,                      1,                0.96176,                0.99324,                0.72186,                 1.0492,                 0.5059,                 1.0913,              0.0002576,              0.0002576,              0.0002576
                     47,                0.70937,                0.38969,                0.92933,                0.99566,                0.96875,                0.99243,                0.73397,                 1.0043,                0.49139,                 1.0788,               0.000218,               0.000218,               0.000218
                     48,                0.77408,                 0.4084,                0.94441,                 0.9969,                0.96875,                0.99243,                0.73533,                 0.9952,                 0.4652,                 1.0698,              0.0001784,              0.0001784,              0.0001784
                     49,                0.69126,                0.37861,                0.90679,                0.99738,                0.96875,                0.99243,                0.73637,                0.99923,                0.45607,                 1.0709,              0.0001388,              0.0001388,              0.0001388
                     50,                0.68235,                0.38358,                0.90919,                0.99805,                0.96875,                0.99243,                0.73931,                 1.0142,                0.45383,                 1.0754,               9.92e-05,               9.92e-05,               9.92e-05
